Word / Phrase,Category,Notes,✅ Inbox-Safe,Recommended Use
Account Update:,Account/Balance,Used often for balance or credit activation,✅,Primary Usage
Update:,Account/Balance,Simple system phrase that boosts inbox placement,✅,Primary Usage
NOTICE:,User Provided,Legal/system prefix that improves credibility,✅,Primary Usage
[IMPORTANT],System/Transactional,"Boosts urgency and inbox placement, often used in transactional alerts",✅,Primary Usage
Re:,Personalization,"Mimics a reply thread, reduces promo filter risk",✅,Primary Usage
{{ first_name|title|default:'' }},Personalization,"Personalization token; use in subject for Primary tab boost. Pro tip use: title, upper, or lower",✅,Primary Usage
Added To Your Account,Cart/Order,"Suffix. Feels like a system update; good for rewards, gifts, etc.",✅,Primary Usage
Your Order,Cart/Order,Mimics post-purchase emails; inbox-friendly,✅,Primary Usage
Your Cart,Cart/Order,Useful for abandoned cart or order-ready language,✅,Primary Usage
Your Credit,Credit/Reward,Credit-based language that can mimic financial/account notices,✅,Primary Usage
Store Credit Balance,Credit/Reward,Finance-leaning term; great for rewards,✅,Primary Usage
Store Credit Update,Credit/Reward,Update phrasing = inbox-safe + credit language,✅,Primary Usage
Account Balance,Account/Balance,Used by banks; mimics financial institutions,✅,Primary Usage
System Notice:,System/Transactional,Good for low-key announcements; mimics admin alerts,✅,Primary Usage
Re: Your Future {Collection_Name},Cart/Order,Curiosity angle with a reply prefix,✅,Primary Usage
Notice:,System/Transactional,Soft compliance language; reduces promotion flag risk,✅,Primary Usage
[Action Required],System/Transactional,Great for urgency; use sparingly to preserve deliverability,✅,Primary Usage
[Action Requested],System/Transactional,Similar to Action Required; slightly softer tone,✅,Primary Usage
Your Account Discount,Account/Balance,Mixes reward language with system update tone,✅,Primary Usage
Important:,System/Transactional,Inbox-priority marker; good for announcements,✅,Primary Usage
RE:,System/Transactional,Mimics a reply; helps with inbox placement,✅,Primary Usage
Re: Your Pending Order,Cart/Order,"Sounds like fulfillment, even if part of a campaign",✅,Primary Usage
Account Alert,Account/Balance,"Used by banks, finance; boosts Primary placement",✅,Primary Usage
Balance Alert,Credit/Reward,Finance notification feel; great for rewards,✅,Primary Usage
Credit Notification,Credit/Reward,Sounds like a credit card or store credit alert,✅,Primary Usage
Account Notification,Account/Balance,Strong system-style alert that mimics bank or platform notifications,✅,Primary Usage
Pending Transfer,Account/Balance,Great for Store Credit style promotions; mimics bank notifications,✅,Primary Usage
Fwd:,System/Transactional,Forwarding thread cue‚ mimics natural behavior,✅,Primary Usage
Urgent,System/Transactional,Best used in PT or subject when tied to real scarcity,✅,Primary Usage
Urgent Action Required,System/Transactional,System warning style‚ be careful of overuse,✅,Primary Usage
System Message:,System/Transactional,Adds variation to 'System Notice:',✅,Primary Usage
Status Update:,System/Transactional,"Use for orders, offers, inventory",✅,Primary Usage
Security Update:,System/Transactional,Inbox-safe when used responsibly,✅,Primary Usage
Account Status:,Account/Balance,Phrases like 'Update' help inbox,✅,Primary Usage
Identity Confirmed,System/Account,Great for verification flows,,Primary Usage
New Message Received,System/Account,Modeled on inbox alerts,✅,Primary Usage
Support Ticket Updated,System/Account,Helpdesk-style copy,,Primary Usage
Billing Statement,System/Account,Finance-style subject,✅,Primary Usage
Profile Update,System/Account,Often inboxed for preferences,✅,Primary Usage
Scheduled Maintenance,System/Account,Tech/SaaS phrasing,✅,Primary Usage
Terms Update,System/Account,Legal-style phrasing,✅,Primary Usage
Consent Confirmed,System/Account,Great for post-opt-in,✅,Primary Usage
Shipment Confirmed,Order/Shipping,Used by eCom & carriers,✅,Inspiration Only
Tracking Update,Order/Shipping,Carrier-based wording,✅,Inspiration Only
Order Confirmation,Order/Shipping,Inbox-safe standard,✅,Inspiration Only
Delivery Alert,Order/Shipping,Mimics USPS/UPS alerts,✅,Inspiration Only
Item Back in Stock,Order/Shipping,Good urgency + inbox pattern,✅,Inspiration Only
Purchase Summary,Order/Shipping,Finance/receipt pattern,✅,Inspiration Only
View Your Receipt,Order/Shipping,Can be used in PT,✅,Inspiration Only
Payment Approved,Order/Shipping,SaaS & finance style,✅,Inspiration Only
Your Invoice,Order/Shipping,Pairs well with account update,✅,Inspiration Only
Invoice Available,Order/Shipping,Similar to above,✅,Inspiration Only
Action Required by [date],Reminder/Behavioral,Inbox-safe with urgency,✅,Primary Usage
Session Timeout Warning,Reminder/Behavioral,Great for PT in inactivity flows,,Primary Usage
Request Received,Reminder/Behavioral,Post-opt-in angle,✅,Primary Usage
We Noticed Activity On...,Reminder/Behavioral,Behavior-driven curiosity,,Primary Usage
Unlock Your Account,Reminder/Behavioral,Great for reward framing,,Primary Usage
Request Confirmed,Reminder/Behavioral,Confirmation pattern,✅,Primary Usage
Daily Summary,Reminder/Behavioral,Common in SaaS digests,✅,Primary Usage
Your Report is Ready,Reminder/Behavioral,Pairs well with gated offers,✅,Primary Usage
FYI:,Tone-Softening,Low-pressure inbox prefix,✅,Primary Usage
In Case You Missed This:,Tone-Softening,Good re-send framing,,Primary Usage
As Requested:,Tone-Softening,Makes user feel in control,,Primary Usage
Following Up On:,Tone-Softening,Classic inbox-safe language,✅,Primary Usage
Just Released:,Tone-Softening,"Launch framing, inbox safe",✅,Primary Usage
Heads Up:,Tone-Softening,Soft urgency,✅,Primary Usage
Quick Note:,Tone-Softening,Inbox-leaning casual intro,✅,Primary Usage